t	POSX	POSY	PHIS	SDOT	blank	w	ori
0	0	0	3.1415926	10	0	0	0
-10	-10	0	3.1415926	10	0	0	0
-20	-20	0	3.1415926	10	0	0	0
-40	-40	0	3.1415926	10	0	0	0
-50	-50	0	3.1415926	10	0	0	0
-70	-70	0	3.1415926	10	0	0	0
-80	-80	0	3.1415926	10	0	0	0
-90	-90	0	3.1415926	10	0	0	0
-110	-110	0	3.1415926	10	0	0	0
-120	-120	0	3.1415926	10	0	0	0
-140	-140	0	3.1415926	10	0	0	0
-150	-150	0	3.1415926	10	0	0	0
-160	-160	0	3.1415926	10	0	0	0
-180	-180	0	3.1415926	10	0	0	0
-190	-190	0	3.1415926	10	0	0	0
-210	-210	0	3.1415926	10	0	0	0
-220	-220	0	3.1415926	10	0	0	0
-230	-230	0	3.1415926	10	0	0	0
-250	-250	0	3.1415926	10	0	0	0
-260	-260	0	3.1415926	10	0	0	0
-280	-280	0	3.1415926	10	0	0	0
-290	-290	0	3.1415926	10	0	0	0
-300	-300	0	3.1415926	10	0	0	0
-320	-320	0	3.1415926	10	0	0	0
-330	-330	0	3.1415926	10	0	0	0
-340	-340	0	3.1415926	10	0	0	0
-360	-360	0	3.1415926	10	0	0	0
-370	-370	0	3.1415926	10	0	0	0
-390	-390	0	3.1415926	10	0	0	0
-400	-400	0	3.1415926	10	0	0	0
-410	-410	0	3.1415926	10	0	0	0
-430	-430	0	3.1415926	10	0	0	0
-440	-440	0	3.1415926	10	0	0	0
-460	-460	0	3.1415926	10	0	0	0
-470	-470	0	3.1415926	10	0	0	0
-490	-490	0	3.1415926	10	0	0	0
-500	-500	0	3.1415926	10	0	0	0
-520	-520	0	3.1415926	10	0	0	0
-530	-530	0	3.1415926	10	0	0	0
-540	-540	0	3.1415926	10	0	0	0
-560	-560	0	3.1415926	10	0	0	0
-570	-570	0	3.1415926	10	0	0	0
-590	-590	0	3.1415926	10	0	0	0
-600	-600	0	3.1415926	10	0	0	0
-610	-610	0	3.1415926	10	0	0	0
-630	-630	0	3.1415926	10	0	0	0
-640	-640	0	3.1415926	10	0	0	0
-660	-660	0	3.1415926	10	0	0	0
-670	-670	0	3.1415926	10	0	0	0
-680	-680	0	3.1415926	10	0	0	0
-700	-700	0	3.1415926	10	0	0	0
-710	-710	0	3.1415926	10	0	0	0
-730	-730	0	3.1415926	10	0	0	0
-740	-740	0	3.1415926	10	0	0	0
-750	-750	0	3.1415926	10	0	0	0
-770	-770	0	3.1415926	10	0	0	0
-780	-780	0	3.1415926	10	0	0	0
-790	-790	0	3.1415926	10	0	0	0
-810	-810	0	3.1415926	10	0	0	0
-820	-820	0	3.1415926	10	0	0	0
-840	-840	0	3.1415926	10	0	0	0
-850	-850	0	3.1415926	10	0	0	0
-860	-860	0	3.1415926	10	0	0	0
-880	-880	0	3.1415926	10	0	0	0
-890	-890	0	3.1415926	10	0	0	0
-900	-900	0	3.1415926	10	0	0	0
-920	-920	0	3.1415926	10	0	0	0
-930	-930	0	3.1415926	10	0	0	0
-950	-950	0	3.1415926	10	0	0	0
-960	-960	0	3.1415926	10	0	0	0
-970	-970	0	3.1415926	10	0	0	0
-990	-990	0	3.1415926	10	0	0	0
-1000	-1000	0	3.1415926	10	0	0	0
-1020	-1020	0	3.1415926	10	0	0	0.5
-1030	-1030	0	3.1415926	10	0	0	1
-1040	-1040	0	3.1415926	10	0	0	1.5
-1060	-1060	0	3.1415926	10	0	0	2
-1070	-1070	0	3.1415926	10	0	0	2.5
-1090	-1090	0	3.1415926	10	0	0	3
-1100	-1100	0	3.1415926	10	0	0	3.5
-1110	-1110	0	3.1415926	10	0	0	4
-1130	-1130	0	3.1415926	10	0	0	4.5
-1140	-1140	0	3.1415926	10	0	0	5
