x_pos	y_pos	psi	fspeed	blank	ws	ori
0	0	3.1415927	45	0	0	0
-45	0	3.1415927	45	0	0	0
-90	0	3.1415927	45	0	0	0
-135	0	3.1415927	45	0	0	0
-180	0	3.1415927	45	0	0	0
-225	0	3.1415927	45	0	0	0
-270	0	3.1415927	45	0	0	0
-315	0	3.1415927	45	0	0	0
-360	0	3.1415927	45	0	0	0
-405	0	3.1415927	45	0	0	0
-450	0	3.1415927	45	0	0	0
-495	0	3.1415927	45	0	0	0
-540	0	3.1415927	45	0	0	0
-585	0	3.1415927	45	0	0	0
-630	0	3.1415927	45	0	0	0
-675	0	3.1415927	45	0	0	0
-720	0	3.1415927	45	0	0	0
-765	0	3.1415927	45	0	0	0
-810	0	3.1415927	45	0	0	0
-855	0	3.1415927	45	0	0	0
-900	0	3.1415927	45	0	0	0
-945	0	3.1415927	45	0	0	0
-990	0	3.1415927	45	0	0	0
-1035	0	3.1415927	45	0	0	2
-1080	0	3.1415927	45	0	0	4
-1125	0	3.1415927	45	0	0	6
-1170	0	3.1415927	45	0	0	8
-1215	0	3.1415927	45	0	0	10
-1260	0	3.1415927	45	0	0	12
-1305	0	3.1415927	45	0	0	14
-1350	0	3.1415927	45	0	0	16
-1395	0	3.1415927	45	0	0	18
-1440	0	3.1415927	45	0	0	20
-1485	0	3.1415927	45	0	0	22
-1530	0	3.1415927	45	0	0	24
-1575	0	3.1415927	45	0	0	26
-1620	0	3.1415927	45	0	0	28
-1665	0	3.1415927	45	0	0	30
-1710	0	3.1415927	45	0	0	32
-1755	0	3.1415927	45	0	0	34
-1800	0	3.1415927	45	0	0	36
-1845	0	3.1415927	45	0	0	38
-1890	0	3.1415927	45	0	0	40
-1935	0	3.1415927	45	0	0	42
-1980	0	3.1415927	45	0	0	44
-2025	0	3.1415927	45	0	0	45
-2070	0	3.1415927	45	0	0	45
-2115	0	3.1415927	45	0	0	45
-2160	0	3.1415927	45	0	0	45
-2205	0	3.1415927	45	0	0	45
-2250	0	3.1415927	45	0	0	45
-2295	0	3.1415927	45	0	0	45
-2340	0	3.1415927	45	0	0	45
-2385	0	3.1415927	45	0	0	45
-2430	0	3.1415927	45	0	0	45
-2475	0	3.1415927	45	0	0	45
-2520	0	3.1415927	45	0	0	45
-2565	0	3.1415927	45	0	0	45
-2610	0	3.1415927	45	0	0	45
-2655	0	3.1415927	45	0	0	45
-2700	0	3.1415927	45	0	0	45
-2745	0	3.1415927	45	0	0	45
-2790	0	3.1415927	45	0	0	45
-2835	0	3.1415927	45	0	0	45
-2880	0	3.1415927	45	0	0	45
-2925	0	3.1415927	45	0	0	45
-2970	0	3.1415927	45	0	0	45
-3000	0	3.1415927	45	0	-0.09	47.5
-3044.9393	2.0236335	3.0515927	45	0	-0.09	50
-3089.5148	8.0781536	2.9615927	45	0	-0.09	52.5
-3133.3657	18.114552	2.8715927	45	0	-0.09	55
-3176.1371	32.051588	2.7815927	45	0	-0.09	57.5
-3217.4828	49.776449	2.6915927	45	0	-0.09	60
-3257.068	71.145659	2.6015927	45	0	-0.09	62.5
-3294.5724	95.986246	2.5115927	45	0	-0.09	65
-3329.6923	124.09714	2.4215927	45	0	-0.09	67.5
-3362.1436	155.25078	2.3315927	45	0	-0.09	70
-3391.6635	189.19502	2.2415927	45	0	-0.09	72.5
-3418.013	225.65507	2.1515927	45	0	-0.09	75
-3440.9789	264.33582	2.0615927	45	0	-0.09	77.5
-3460.3753	304.92416	1.9715927	45	0	-0.09	80
-3476.0452	347.09155	1.8815927	45	0	-0.09	82.5
-3487.8617	390.49666	1.7915927	45	0	-0.09	85
-3495.7292	434.78815	1.7015927	45	0	-0.09	87.5
-3499.584	479.60749	1.6115927	45	0	-0.09	90
-3500	500	1.5707963	45	0	0	90.00007448
-3500	545	1.5707963	45	0	0	90.00007448
-3500	590	1.5707963	45	0	0	90.00007448
-3500	635	1.5707963	45	0	0	90.00007448
-3500	680	1.5707963	45	0	0	90.00007448
-3500	725	1.5707963	45	0	0	90.00007448
-3500	770	1.5707963	45	0	0	90.00007448
-3500	815	1.5707963	45	0	0	90.00007448
-3500	860	1.5707963	45	0	0	90.00007448
-3500	905	1.5707963	45	0	0	90.00007448
-3500	950	1.5707963	45	0	0	90.00007448
-3500	995	1.5707963	45	0	0	90.00007448
-3500	1040	1.5707963	45	0	0	90.00007448
-3500	1085	1.5707963	45	0	0	90.00007448
-3500	1130	1.5707963	45	0	0	90.00007448
-3500	1175	1.5707963	45	0	0	90.00007448
-3500	1220	1.5707963	45	0	0	90.00007448
-3500	1265	1.5707963	45	0	0	90.00007448
-3500	1310	1.5707963	45	0	0	90.00007448
-3500	1355	1.5707963	45	0	0	90.00007448
-3500	1400	1.5707963	45	0	0	90.00007448
-3500	1445	1.5707963	45	0	0	90.00007448
-3500	1490	1.5707963	45	0	0	90.00007448
-3500	1500	1.5707963	45	0	0	90.00007448
-3500	1545	1.5707963	45	0	0	90.00007448
-3500	1590	1.5707963	45	0	0	90.00007448
-3500	1635	1.5707963	45	0	0	90.00007448
-3500	1680	1.5707963	45	0	0	90.00007448
-3500	1725	1.5707963	45	0	0	90.00007448
-3500	1770	1.5707963	45	0	0	90.00007448
-3500	1815	1.5707963	45	0	0	90.00007448
-3500	1860	1.5707963	45	0	0	90.00007448
-3500	1905	1.5707963	45	0	0	90.00007448
-3500	1950	1.5707963	45	0	0	90.00007448
-3500	1995	1.5707963	45	0	0	90.00007448
-3500	2040	1.5707963	45	0	0	90.00007448
-3500	2085	1.5707963	45	0	0	90.00007448
-3500	2130	1.5707963	45	0	0	90.00007448
-3500	2175	1.5707963	45	0	0	90.00007448
-3500	2220	1.5707963	45	0	0	90.00007448
-3500	2265	1.5707963	45	0	0	90.00007448
-3500	2310	1.5707963	45	0	0	90.00007448
-3500	2355	1.5707963	45	0	0	90.00007448
-3500	2400	1.5707963	45	0	0	90.00007448
