t	xPos	yPos	phi	sDot	blank	w
0	0	-285.6605775	0	72.22490978	0	0.018819854
-10	-10	-267.7243132	0	71.52443505	0	0.019217559
-45	-45	-206.7548756	0	69.08367309	0	0.020674055
-80	-80	-148.6040445	0	66.66618566	0	0.022235305
-115	-115	-93.27623616	0	64.28032613	0	0.022815106
-150	-150	-40.77026055	0	61.93452674	0	0.021982508
-185	-185	8.920519781	0	59.6373023	0	0.021167151
-220	-220	55.80803035	0	57.39724656	0	0.020372085
-255	-255	99.90932553	0	55.22301788	0	0.019600383
-290	-290	141.2464293	0	53.12331062	0	0.018855131
-325	-325	179.8461762	0	51.10680763	0	0.018139411
-360	-360	215.7400518	0	49.1821088	0	0.017456274
-395	-395	248.9640338	0	47.35763067	0	0.01680871
-430	-430	279.5584324	0	45.64147246	0	0.016199591
-465	-465	307.5677316	0	44.04124562	0	0.015631621
-500	-500	333.0404297	0	42.56386694	0	0.015107253
-535	-535	356.0288798	0	41.21531955	0	0.014628611
-570	-570	376.5891311	0	40.00039235	0	0.014197395
-605	-605	394.7807695	0	38.92241458	0	0.013814787
-640	-640	410.6667582	0	37.98300889	0	0.013481362
-675	-675	424.3132785	0	37.18189003	0	0.01319702
-710	-710	435.7895709	0	36.51673653	0	0.012960936
-745	-745	445.1677755	0	35.98315792	0	0.012771552
-780	-780	452.522773	0	35.57476993	0	0.012626603
-815	-815	457.9320253	0	35.28337721	0	0.012523178
-850	-850	461.4754165	0	35.09924875	0	0.012457825
-885	-885	463.2350935	0	35.01146017	0	0.012426666
-920	-920	463.2953069	0	35.00827089	0	0.012425534
-955	-955	461.7422517	0	35.07750343	0	0.012450107
-990	-990	458.663908	0	35.20689707	0	0.012496033
-1025	-1025	454.149882	0	35.38441592	0	0.01255904
-1060	-1060	448.2912466	0	35.59850024	0	0.012635025
-1095	-1095	441.1803823	0	35.83825814	0	0.012720123
-1130	-1130	432.9108176	0	36.0936007	0	0.012810752
-1165	-1165	423.5770706	0	36.35532775	0	0.012903647
-1200	-1200	413.2744888	0	36.61517318	0	0.012995874
-1235	-1235	402.0990905	0	36.86581928	0	0.013084837
-1270	-1270	390.1474055	0	37.1008885	0	0.01316827
-1305	-1305	377.5163158	0	37.31492033	0	0.013244237
-1340	-1340	364.3028962	0	37.50333902	0	0.013311112
-1375	-1375	350.6042554	0	37.66241689	0	0.013367574
-1410	-1410	336.5173765	0	37.7892366	0	0.013412586
-1445	-1445	322.1389581	0	37.88165462	0	0.013445389
-1480	-1480	307.5652547	0	37.93826757	0	0.013465482
-1515	-1515	292.8919177	0	37.9583822	0	0.013472622
-1550	-1550	278.2138362	0	37.94198945	0	0.013466803
-1585	-1585	263.6249777	0	37.88974256	0	0.013448259
-1620	-1620	249.2182288	0	37.80293895	0	0.01341745
-1655	-1655	235.0852362	0	37.68350529	0	0.013375059
-1690	-1690	221.3162472	0	37.53398476	0	0.01332199
-1725	-1725	207.9999509	0	37.35752561	0	0.013259359
-1760	-1760	195.2233183	0	37.15786942	0	0.013188494
-1795	-1795	183.0714439	0	36.93933734	0	0.013110931
-1830	-1830	171.6273857	0	36.7068124	0	0.0130284
-1865	-1865	160.9720066	0	36.46571524	0	0.012942827
-1900	-1900	151.1838148	0	36.22197068	0	0.012856315
-1935	-1935	142.3388047	0	35.98196208	0	0.012771128
-1970	-1970	134.5102976	0	35.75247032	0	0.012689674
-2005	-2005	127.7687827	0	35.54059461	0	0.012614473
-2040	-2040	122.1817576	0	35.35365256	0	0.012548121
-2075	-2075	117.8135693	0	35.19905814	0	0.012493251
-2110	-2110	114.7252547	0	35.08417753	0	0.012452476
-2145	-2145	112.9743819	0	35.01616487	0	0.012428336
