t	POSX	POSY	PHIS	SDOT	blank	w	ori
1	0	0	3.141592654	45	0	0	0
2	-45	0	3.141592654	45	0	0	0
3	-90	0	3.141592654	45	0	0	0
4	-135	0	3.141592654	45	0	0	0
5	-180	0	3.141592654	45	0	0	0
6	-225	0	3.141592654	45	0	0	0
7	-270	0	3.141592654	45	0	0	0
8	-315	0	3.141592654	45	0	0	0
9	-360	0	3.141592654	45	0	0	0
10	-405	0	3.141592654	45	0	0	0
11	-450	0	3.141592654	45	0	0	0
12	-495	0	3.141592654	45	0	0	0
13	-540	0	3.141592654	45	0	0	0
14	-585	0	3.141592654	45	0	0	0
15	-630	0	3.141592654	45	0	0	0
16	-675	0	3.141592654	45	0	0	0
17	-720	0	3.141592654	45	0	0	0
18	-765	0	3.141592654	45	0	0	0
19	-810	0	3.141592654	45	0	0	0
20	-855	0	3.141592654	45	0	0	0
21	-900	0	3.141592654	45	0	0	0
22	-945	0	3.141592654	45	0	0	0
23	-990	0	3.141592654	45	0	0	0
24	-1035	0	3.141592654	45	0	0	2
25	-1080	0	3.141592654	45	0	0	4
26	-1125	0	3.141592654	45	0	0	6
27	-1170	0	3.141592654	45	0	0	8
28	-1215	0	3.141592654	45	0	0	10
29	-1260	0	3.141592654	45	0	0	12
30	-1305	0	3.141592654	45	0	0	14
31	-1350	0	3.141592654	45	0	0	16
32	-1395	0	3.141592654	45	0	0	18
33	-1440	0	3.141592654	45	0	0	20
34	-1485	0	3.141592654	45	0	0	22
35	-1530	0	3.141592654	45	0	0	24
36	-1575	0	3.141592654	45	0	0	26
37	-1620	0	3.141592654	45	0	0	28
38	-1665	0	3.141592654	45	0	0	30
39	-1710	0	3.141592654	45	0	0	32
40	-1755	0	3.141592654	45	0	0	34
41	-1800	0	3.141592654	45	0	0	36
42	-1845	0	3.141592654	45	0	0	38
43	-1890	0	3.141592654	45	0	0	40
44	-1935	0	3.141592654	45	0	0	42
45	-1980	0	3.141592654	45	0	0	44
46	-2025	0	3.141592654	45	0	0	45
47	-2070	0	3.141592654	45	0	0	45
48	-2115	0	3.141592654	45	0	0	45
49	-2160	0	3.141592654	45	0	0	45
50	-2205	0	3.141592654	45	0	0	45
51	-2250	0	3.141592654	45	0	0	45
52	-2295	0	3.141592654	45	0	0	45
53	-2340	0	3.141592654	45	0	0	45
54	-2385	0	3.141592654	45	0	0	45
55	-2430	0	3.141592654	45	0	0	45
56	-2475	0	3.141592654	45	0	0	45
57	-2520	0	3.141592654	45	0	0	45
58	-2565	0	3.141592654	45	0	0	45
59	-2610	0	3.141592654	45	0	0	45
60	-2655	0	3.141592654	45	0	0	45
61	-2700	0	3.141592654	45	0	0	45
62	-2745	0	3.141592654	45	0	0	45
63	-2790	0	3.141592654	45	0	0	45
64	-2835	0	3.141592654	45	0	0	45
65	-2880	0	3.141592654	45	0	0	45
66	-2925	0	3.141592654	45	0	0	45
67	-2970	0	3.141592654	45	0	0	45
68	-3000	0	3.141592654	45	0	-0.09	47.5
69	-3044.939275	2.023633494	3.051592654	45	0	-0.09	50
70	-3089.514787	8.078153606	2.961592654	45	0	-0.09	52.5
71	-3133.365718	18.11455182	2.871592654	45	0	-0.09	55
72	-3176.137117	32.05158816	2.781592654	45	0	-0.09	57.5
73	-3217.482767	49.77644882	2.691592654	45	0	-0.09	60
74	-3257.067996	71.14565932	2.601592654	45	0	-0.09	62.5
75	-3294.572379	95.98624584	2.511592654	45	0	-0.09	65
76	-3329.692336	124.0971354	2.421592654	45	0	-0.09	67.5
77	-3362.143587	155.2507835	2.331592654	45	0	-0.09	70
78	-3391.663455	189.1950159	2.241592654	45	0	-0.09	72.5
79	-3418.012989	225.6550697	2.151592654	45	0	-0.09	75
80	-3440.978903	264.3358179	2.061592654	45	0	-0.09	77.5
