t	POSX	POSY	PHIS	SDOT	blank	w	ori
1	0	0	3.141592654	30	0	0	0
2	-30	0	3.141592654	30	0	0	0
3	-60	0	3.141592654	30	0	0	0
4	-90	0	3.141592654	30	0	0	0
5	-120	0	3.141592654	30	0	0	0
6	-150	0	3.141592654	30	0	0	0
7	-180	0	3.141592654	30	0	0	0
8	-210	0	3.141592654	30	0	0	0
9	-240	0	3.141592654	30	0	0	0
10	-270	0	3.141592654	30	0	0	0
11	-300	0	3.141592654	30	0	0	0
12	-330	0	3.141592654	30	0	0	0
13	-360	0	3.141592654	30	0	0	0
14	-390	0	3.141592654	30	0	0	0
15	-420	0	3.141592654	30	0	0	0
16	-450	0	3.141592654	30	0	0	0
17	-480	0	3.141592654	30	0	0	0
18	-510	0	3.141592654	30	0	0	0
19	-540	0	3.141592654	30	0	0	0
20	-570	0	3.141592654	30	0	0	0
21	-600	0	3.141592654	30	0	0	0
22	-630	0	3.141592654	30	0	0	0
23	-660	0	3.141592654	30	0	0	0
24	-690	0	3.141592654	30	0	0	0
25	-720	0	3.141592654	30	0	0	0
26	-750	0	3.141592654	30	0	0	0
27	-780	0	3.141592654	30	0	0	0
28	-810	0	3.141592654	30	0	0	0
29	-840	0	3.141592654	30	0	0	0
30	-870	0	3.141592654	30	0	0	0
31	-900	0	3.141592654	30	0	0	0
32	-930	0	3.141592654	30	0	0	0
33	-960	0	3.141592654	30	0	0	0
34	-990	0	3.141592654	30	0	0	0
35	-1020	0	3.141592654	30	0	0	1
36	-1050	0	3.141592654	30	0	0	2.1
37	-1080	0	3.141592654	30	0	0	3.2
38	-1110	0	3.141592654	30	0	0	4.3
39	-1140	0	3.141592654	30	0	0	5.4
40	-1170	0	3.141592654	30	0	0	6.5
41	-1200	0	3.141592654	30	0	0	7.6
42	-1230	0	3.141592654	30	0	0	8.7
43	-1260	0	3.141592654	30	0	0	9.8
44	-1290	0	3.141592654	30	0	0	10.9
45	-1320	0	3.141592654	30	0	0	12
46	-1350	0	3.141592654	30	0	0	13.1
47	-1380	0	3.141592654	30	0	0	14.2
48	-1410	0	3.141592654	30	0	0	15.3
49	-1440	0	3.141592654	30	0	0	16.4
50	-1470	0	3.141592654	30	0	0	17.5
51	-1500	0	3.141592654	30	0	0	18.6
52	-1530	0	3.141592654	30	0	0	19.7
53	-1560	0	3.141592654	30	0	0	20.8
54	-1590	0	3.141592654	30	0	0	21.9
55	-1620	0	3.141592654	30	0	0	23
56	-1650	0	3.141592654	30	0	0	24.1
57	-1680	0	3.141592654	30	0	0	25.2
58	-1710	0	3.141592654	30	0	0	26.3
59	-1740	0	3.141592654	30	0	0	27.4
60	-1770	0	3.141592654	30	0	0	28.5
61	-1800	0	3.141592654	30	0	0	29.6
62	-1830	0	3.141592654	30	0	0	30.7
63	-1860	0	3.141592654	30	0	0	31.8
64	-1890	0	3.141592654	30	0	0	32.9
65	-1920	0	3.141592654	30	0	0	34
66	-1950	0	3.141592654	30	0	0	35.1
67	-1980	0	3.141592654	30	0	0	36.2
68	-2010	0	3.141592654	30	0	0	37.3
69	-2040	0	3.141592654	30	0	0	38.4
70	-2070	0	3.141592654	30	0	0	39.5
71	-2100	0	3.141592654	30	0	0	40.6
72	-2130	0	3.141592654	30	0	0	41.7
73	-2160	0	3.141592654	30	0	0	42.8
74	-2190	0	3.141592654	30	0	0	43.9
75	-2220	0	3.141592654	30	0	0	45
76	-2250	0	3.141592654	30	0	0	45
77	-2280	0	3.141592654	30	0	0	45
78	-2310	0	3.141592654	30	0	0	45
79	-2340	0	3.141592654	30	0	0	45
80	-2370	0	3.141592654	30	0	0	45
81	-2400	0	3.141592654	30	0	0	45
82	-2430	0	3.141592654	30	0	0	45
83	-2460	0	3.141592654	30	0	0	45
84	-2490	0	3.141592654	30	0	0	45
85	-2520	0	3.141592654	30	0	0	45
86	-2550	0	3.141592654	30	0	0	45
87	-2580	0	3.141592654	30	0	0	45
88	-2610	0	3.141592654	30	0	0	45
89	-2640	0	3.141592654	30	0	0	45
90	-2670	0	3.141592654	30	0	0	45
91	-2700	0	3.141592654	30	0	0	45
92	-2730	0	3.141592654	30	0	0	45
93	-2760	0	3.141592654	30	0	0	45
94	-2790	0	3.141592654	30	0	0	45
95	-2820	0	3.141592654	30	0	0	45
96	-2850	0	3.141592654	30	0	0	45
97	-2880	0	3.141592654	30	0	0	45
98	-2910	0	3.141592654	30	0	0	45
99	-2940	0	3.141592654	30	0	0	45
100	-2970	0	3.141592654	30	0	0	45
101	-3000	0	3.141592654	30	0	-0.06	45
102	-3029.982003	0.899730032	3.081592654	30	0	-0.06	46.8
103	-3059.856104	3.595682073	3.021592654	30	0	-0.06	48.3
104	-3089.514787	8.078153606	2.961592654	30	0	-0.06	50
105	-3118.851313	14.33101257	2.901592654	30	0	-0.06	51.65
106	-3147.760103	22.33175544	2.841592654	30	0	-0.06	53.3
107	-3176.137117	32.05158816	2.781592654	30	0	-0.06	54.95
108	-3203.880227	43.45552984	2.721592654	30	0	-0.06	56.6
109	-3230.889588	56.50253861	2.661592654	30	0	-0.06	58.25
110	-3257.067996	71.14565932	2.601592654	30	0	-0.06	59.9
111	-3282.321237	87.33219255	2.541592654	30	0	-0.06	61.55
112	-3306.558426	105.0038843	2.481592654	30	0	-0.06	63.2
113	-3329.692336	124.0971354	2.421592654	30	0	-0.06	64.85
114	-3351.63971	144.543231	2.361592654	30	0	-0.06	66.5
115	-3372.32156	166.2685871	2.301592654	30	0	-0.06	68.15
116	-3391.663455	189.1950159	2.241592654	30	0	-0.06	69.8
117	-3409.595784	213.240007	2.181592654	30	0	-0.06	71.45
118	-3426.054011	238.3170244	2.121592654	30	0	-0.06	73.1
119	-3440.978903	264.3358179	2.061592654	30	0	-0.06	74.75
120	-3454.316748	291.202748	2.001592654	30	0	-0.06	76.4
121	-3466.019543	318.8211228	1.941592654	30	0	-0.06	78.05
122	-3476.045171	347.0915458	1.881592654	30	0	-0.06	79.7
123	-3484.35755	375.9122742	1.821592654	30	0	-0.06	81.35
124	-3490.926765	405.1795844	1.761592654	30	0	-0.06	83
125	-3495.729174	434.7881456	1.701592654	30	0	-0.06	84.65
126	-3498.747493	464.6313992	1.641592654	30	0	-0.06	86.3
127	-3499.97086	494.6019415	1.581592654	30	0	-0.06	87.95
128	-3500	500	1.570796327	30	0	0	89.6
129	-3500	530	1.570796327	30	0	0	90
130	-3500	560	1.570796327	30	0	0	90
131	-3500	590	1.570796327	30	0	0	90
132	-3500	620	1.570796327	30	0	0	90
133	-3500	650	1.570796327	30	0	0	90
134	-3500	680	1.570796327	30	0	0	90
135	-3500	710	1.570796327	30	0	0	90
136	-3500	740	1.570796327	30	0	0	90
137	-3500	770	1.570796327	30	0	0	90
138	-3500	800	1.570796327	30	0	0	90
139	-3500	830	1.570796327	30	0	0	90
140	-3500	860	1.570796327	30	0	0	90
141	-3500	890	1.570796327	30	0	0	90
142	-3500	920	1.570796327	30	0	0	90
143	-3500	950	1.570796327	30	0	0	90
144	-3500	980	1.570796327	30	0	0	90
145	-3500	1010	1.570796327	30	0	0	90
146	-3500	1040	1.570796327	30	0	0	90
147	-3500	1070	1.570796327	30	0	0	90
148	-3500	1100	1.570796327	30	0	0	90
149	-3500	1130	1.570796327	30	0	0	90
150	-3500	1160	1.570796327	30	0	0	90
151	-3500	1190	1.570796327	30	0	0	90
152	-3500	1220	1.570796327	30	0	0	90
153	-3500	1250	1.570796327	30	0	0	90
154	-3500	1280	1.570796327	30	0	0	90
155	-3500	1310	1.570796327	30	0	0	90
156	-3500	1340	1.570796327	30	0	0	90
157	-3500	1370	1.570796327	30	0	0	90
158	-3500	1400	1.570796327	30	0	0	90
159	-3500	1430	1.570796327	30	0	0	90
160	-3500	1460	1.570796327	30	0	0	90
161	-3500	1490	1.570796327	30	0	0	90
162	-3500	1500	1.570796327	30	0	0	90
163	-3500	1530	1.570796327	30	0	0	90
164	-3500	1560	1.570796327	30	0	0	90
165	-3500	1590	1.570796327	30	0	0	90
166	-3500	1620	1.570796327	30	0	0	90
167	-3500	1650	1.570796327	30	0	0	90
168	-3500	1680	1.570796327	30	0	0	90
169	-3500	1710	1.570796327	30	0	0	90
170	-3500	1740	1.570796327	30	0	0	90
171	-3500	1770	1.570796327	30	0	0	90
172	-3500	1800	1.570796327	30	0	0	90
173	-3500	1830	1.570796327	30	0	0	90
174	-3500	1860	1.570796327	30	0	0	90
175	-3500	1890	1.570796327	30	0	0	90
176	-3500	1920	1.570796327	30	0	0	90
177	-3500	1950	1.570796327	30	0	0	90
178	-3500	1980	1.570796327	30	0	0	90
179	-3500	2010	1.570796327	30	0	0	90
180	-3500	2040	1.570796327	30	0	0	90
181	-3500	2070	1.570796327	30	0	0	90
182	-3500	2100	1.570796327	30	0	0	90
183	-3500	2130	1.570796327	30	0	0	90
184	-3500	2160	1.570796327	30	0	0	90
185	-3500	2190	1.570796327	30	0	0	90
186	-3500	2220	1.570796327	30	0	0	90
187	-3500	2250	1.570796327	30	0	0	90
188	-3500	2280	1.570796327	30	0	0	90
189	-3500	2310	1.570796327	30	0	0	90
190	-3500	2340	1.570796327	30	0	0	90
191	-3500	2370	1.570796327	30	0	0	90
192	-3500	2400	1.570796327	30	0	0	90
193	-3500	2430	1.570796327	30	0	0	90
194	-3500	2460	1.570796327	30	0	0	90
195	-3500	2490	1.570796327	30	0	0	90
196	-3500	2520	1.570796327	30	0	0	90
197	-3500	2550	1.570796327	30	0	0	90
198	-3500	2580	1.570796327	30	0	0	90
199	-3500	2610	1.570796327	30	0	0	90
200	-3500	2640	1.570796327	30	0	0	90
201	-3500	2670	1.570796327	30	0	0	90
202	-3500	2700	1.570796327	30	0	0	90
203	-3500	2730	1.570796327	30	0	0	90
204	-3500	2760	1.570796327	30	0	0	90
205	-3500	2790	1.570796327	30	0	0	90
206	-3500	2820	1.570796327	30	0	0	90
207	-3500	2850	1.570796327	30	0	0	90
208	-3500	2880	1.570796327	30	0	0	90
209	-3500	2910	1.570796327	30	0	0	90
210	-3500	2940	1.570796327	30	0	0	90
211	-3500	2970	1.570796327	30	0	0	90
212	-3500	3000	1.570796327	30	0	0	90
213	-3500	3030	1.570796327	30	0	0	90
214	-3500	3060	1.570796327	30	0	0	90
215	-3500	3090	1.570796327	30	0	0	90
216	-3500	3120	1.570796327	30	0	0	90
217	-3500	3150	1.570796327	30	0	0	90
218	-3500	3180	1.570796327	30	0	0	90
219	-3500	3210	1.570796327	30	0	0	90
220	-3500	3240	1.570796327	30	0	0	90
221	-3500	3270	1.570796327	30	0	0	90
222	-3500	3300	1.570796327	30	0	0	90
223	-3500	3330	1.570796327	30	0	0	90
224	-3500	3360	1.570796327	30	0	0	90
225	-3500	3390	1.570796327	30	0	0	90
226	-3500	3420	1.570796327	30	0	0	90
227	-3500	3450	1.570796327	30	0	0	90
228	-3500	3480	1.570796327	30	0	0	90
229	-3500	3510	1.570796327	30	0	0	90
230	-3500	3540	1.570796327	30	0	0	90
231	-3500	3570	1.570796327	30	0	0	90
232	-3500	3600	1.570796327	30	0	0	90
233	-3500	3630	1.570796327	30	0	0	90
234	-3500	3660	1.570796327	30	0	0	90
235	-3500	3690	1.570796327	30	0	0	90
236	-3500	3720	1.570796327	30	0	0	90
237	-3500	3750	1.570796327	30	0	0	90
238	-3500	3780	1.570796327	30	0	0	90
239	-3500	3810	1.570796327	30	0	0	90
240	-3500	3840	1.570796327	30	0	0	90
241	-3500	3870	1.570796327	30	0	0	90
242	-3500	3900	1.570796327	30	0	0	90
243	-3500	3930	1.570796327	30	0	0	90
244	-3500	3960	1.570796327	30	0	0	90
245	-3500	3990	1.570796327	30	0	0	90
246	-3500	4020	1.570796327	30	0	0	90
247	-3500	4050	1.570796327	30	0	0	90
248	-3500	4080	1.570796327	30	0	0	90
249	-3500	4110	1.570796327	30	0	0	90
250	-3500	4140	1.570796327	30	0	0	90
251	-3500	4170	1.570796327	30	0	0	90
252	-3500	4200	1.570796327	30	0	0	90
253	-3500	4230	1.570796327	30	0	0	90
254	-3500	4260	1.570796327	30	0	0	90
255	-3500	4290	1.570796327	30	0	0	90
256	-3500	4320	1.570796327	30	0	0	90
257	-3500	4350	1.570796327	30	0	0	90
258	-3500	4380	1.570796327	30	0	0	90
259	-3500	4410	1.570796327	30	0	0	90
260	-3500	4440	1.570796327	30	0	0	90
261	-3500	4470	1.570796327	30	0	0	90
262	-3500	4500	1.570796327	30	0	0	90
263	-3500	4530	1.570796327	30	0	0	90.00007602
264	-3500	4560	1.570796327	30	0	0	90.00007602
265	-3500	4590	1.570796327	30	0	0	90.00007602
266	-3500	4620	1.570796327	30	0	0	90.00007602
267	-3500	4650	1.570796327	30	0	0	90.00007602
268	-3500	4680	1.570796327	30	0	0	90.00007602
269	-3500	4710	1.570796327	30	0	0	90.00007602
270	-3500	4740	1.570796327	30	0	0	90.00007602
271	-3500	4770	1.570796327	30	0	0	90.00007602
272	-3500	4800	1.570796327	30	0	0	90.00007602
273	-3500	4830	1.570796327	30	0	0	90.00007602
274	-3500	4860	1.570796327	30	0	0	90.00007602
275	-3500	4890	1.570796327	30	0	0	90.00007602
276	-3500	4920	1.570796327	30	0	0	90.00007602
277	-3500	4950	1.570796327	30	0	0	90.00007602
278	-3500	4980	1.570796327	30	0	0	90.00007602
279	-3500	5010	1.570796327	30	0	0	90.00007602
280	-3500	5040	1.570796327	30	0	0	90.00007602
281	-3500	5070	1.570796327	30	0	0	90.00007602
282	-3500	5100	1.570796327	30	0	0	90.00007602
283	-3500	5130	1.570796327	30	0	0	90.00007602
284	-3500	5160	1.570796327	30	0	0	90.00007602
285	-3500	5190	1.570796327	30	0	0	90.00007602
286	-3500	5220	1.570796327	30	0	0	90.00007602
287	-3500	5250	1.570796327	30	0	0	90.00007602
288	-3500	5280	1.570796327	30	0	0	90.00007602
289	-3500	5310	1.570796327	30	0	0	90.00007602
290	-3500	5340	1.570796327	30	0	0	90.00007602
291	-3500	5370	1.570796327	30	0	0	90.00007602
292	-3500	5400	1.570796327	30	0	0	90.00007602
293	-3500	5430	1.570796327	30	0	0	90.00007602
294	-3500	5460	1.570796327	30	0	0	90.00007602
295	-3500	5490	1.570796327	30	0	0	90.00007602
296	-3500	5500	1.570796327	30	0	-0.08	90.00007602
